x  y
0.001  1e-07
0.001  1e-07
0.003  1e-07
0.003  1e-07
0.001  3e-07
0.001  3e-07
0.003  3e-07
0.003  3e-07
0.001  1e-07
0.001  1e-07
0.001  1e-07
0.001  2.8e-07
0.001  2.8e-07
0.001  2.9e-07
0.001  1.5e-07
0.0024  2.4e-07
0.003  2.2e-07
0.003  3e-07
0.001  1e-07
0.003  3e-07
0.001  1e-07
0.003  3e-07
0.003  3e-07
0.001  1e-07
0.003  3e-07
0.001  1e-07
0.001  1e-07
0.003  3e-07
0.003  3e-07
0.003  1e-07
0.003  3e-07
0.003  1e-07
0.003  1e-07
0.003  3e-07
0.003  3e-07
0.001  3e-07
0.003  1e-07
0.003  3e-07
0.001  1e-07
0.003  1e-07
0.001  1e-07
0.003  3e-07
0.003  1e-07
0.003  1e-07
0.003  1e-07
0.003  1e-07
0.001  1e-07
0.003  3e-07
0.003  3e-07
0.001  3e-07
0.001  3e-07
0.003  1e-07
0.001  1e-07
0.003  3e-07
0.003  3e-07
0.001  3e-07
0.003  1e-07
0.001  2.3e-07
0.003  2e-07
0.001  3e-07
0.001  1.9e-07
0.001  2e-07
0.003  1e-07
0.001  1e-07
0.001  3e-07
0.001  1.8e-07
0.003  2.1e-07
0.001  2e-07
0.003  1e-07
0.001  2.1e-07
0.001  2e-07
0.003  2e-07
0.001  1.9e-07
0.001  2.1e-07
0.001  2e-07
0.001  3e-07
0.003  1.9e-07
0.001  3e-07
0.003  1.9e-07
0.003  1e-07
0.001  3e-07
0.001  1e-07
0.003  3e-07
0.003  2e-07
0.001  1e-07
0.001  1e-07
0.003  3e-07
0.003  3e-07
0.003  1.9e-07
0.001  3e-07
0.003  1.5e-07
0.003  1.6e-07
0.003  3e-07
0.001  1.9e-07
0.001  1e-07
0.001  3e-07
0.001  3e-07
0.003  1e-07
0.003  3e-07
0.003  1e-07
0.003  1.9e-07
0.001  1e-07
0.003  3e-07
0.001  2.3e-07
0.003  1.9e-07
0.003  2.1e-07
0.003  3e-07
0.003  1e-07
0.003  1e-07
0.003  2.1e-07
0.003  1.6e-07
0.001  3e-07
0.001  3e-07
0.003  1e-07
0.001  1e-07
0.003  1e-07
0.003  2.2e-07
0.001  1e-07
0.003  2.2e-07
0.003  1.9e-07
0.001  1e-07
0.003  2.1e-07
0.001  3e-07
0.003  2.1e-07
0.001  3e-07
0.003  3e-07
0.003  1e-07
0.001  1e-07
0.003  1e-07
0.003  3e-07
0.001  2e-07
0.003  1e-07
0.001  3e-07
0.003  3e-07
0.001  2e-07
0.001  1e-07
0.001  2.2e-07
0.001  1.9e-07
0.003  2e-07
0.003  1.8e-07
0.003  2.1e-07
0.001  1e-07
0.001  2.1e-07
0.003  3e-07
0.001  2.5e-07
0.003  3e-07
0.001  3e-07
0.001  2e-07
0.003  2e-07
0.003  2.1e-07
0.001  2e-07
0.003  1e-07
0.001  3e-07
0.001  2.2e-07
0.003  3e-07
0.003  1e-07
0.003  2.1e-07
0.003  1e-07
0.001  1.8e-07
0.003  1e-07
0.001  1e-07
0.003  3e-07
0.001  1e-07
0.003  1e-07
0.003  1e-07
0.001  2e-07
0.001  1e-07
0.001  3e-07
0.001  3e-07
0.003  2e-07
0.001  2.5e-07
0.003  2.4e-07
0.001  1.6e-07
0.001  2.5e-07
0.003  1.5e-07
0.001  2.6e-07
0.003  2.5e-07
0.003  1.5e-07
0.001  1.5e-07
0.001  1.6e-07
0.001  2.5e-07
0.001  1.4e-07
0.003  2.5e-07
0.001  1.5e-07
0.001  1e-07
0.001  3e-07
0.001  3e-07
0.003  3e-07
0.001  3e-07
0.001  3e-07
0.003  3e-07
0.001  1e-07
0.003  1e-07
0.003  1e-07
0.001  3e-07
0.003  3e-07
0.003  3e-07
0.003  3e-07
0.003  1e-07
0.001  1e-07
0.001  3e-07
0.003  1e-07
0.001  1e-07
0.003  1e-07
0.003  3e-07
0.001  1e-07
0.003  3e-07
0.001  1e-07
0.001  3e-07
0.001  2e-07
0.001  3e-07
0.001  3e-07
0.001  1e-07
0.003  1e-07
0.001  3e-07
0.003  3e-07
0.003  1e-07
0.001  3e-07
0.001  1e-07
0.003  3e-07
0.001  3e-07
0.001  3e-07
0.003  1e-07
0.001  3e-07
0.001  2e-07
0.001  1e-07
0.003  3e-07
0.001  3e-07
0.003  1e-07
0.001  3e-07
0.003  3e-07
0.001  1e-07
0.001  3e-07
0.003  1e-07
0.003  1e-07
0.001  1e-07
0.001  1e-07
0.001  1e-07
0.003  2e-07
0.001  1e-07
0.003  3e-07
0.003  1e-07
0.003  1e-07
0.003  1e-07
0.001  3e-07
